Cryptocurrency;Price in USD;Date
Bitcoin;46207,83357;11.02.2021
Ethereum;1778,795368;11.02.2021
Tether;1,000595663;11.02.2021
Cardano;0,911223625;11.02.2021
XRP;0,513567036;11.02.2021
Polkadot;24,98622525;11.02.2021
Binance Coin;123,9925751;11.02.2021
Litecoin;187,6628114;11.02.2021
Chainlink;27,78104609;11.02.2021
Bitcoin Cash;520,8634547;11.02.2021
Stellar;0,431556089;11.02.2021
Dogecoin;0,073441838;11.02.2021
USD Coin;0,99996136;11.02.2021
Aave;530,0516381;11.02.2021
Uniswap;20,85693682;11.02.2021
Wrapped Bitcoin;45818,82995;11.02.2021
EOS;4,254416626;11.02.2021
Bitcoin SV;217,5717109;11.02.2021
Avalanche;51,10280466;11.02.2021
NEM;0,388539703;11.02.2021
Cosmos;16,49087964;11.02.2021
TRON;0,047611264;11.02.2021
Monero;180,7529484;11.02.2021
IOTA;1,167053536;11.02.2021
Tezos;4,134218262;11.02.2021
Elrond;184,1989849;11.02.2021
Synthetix;26,43255145;11.02.2021
Terra;6,353238649;11.02.2021
THETA;2,962246277;11.02.2021
Neo;37,80226536;11.02.2021
VeChain;0,039747573;11.02.2021
Maker;2537,2284;11.02.2021
Huobi Token;12,94095975;11.02.2021
Solana;9,215565531;11.02.2021
Compound;490,0667293;11.02.2021
Filecoin;41,54498942;11.02.2021
The Graph;1,620123774;11.02.2021
Dai;1,001558604;11.02.2021
FTX Token;20,67543493;11.02.2021
SushiSwap;14,96076982;11.02.2021
Crypto.com Coin;0,079561175;11.02.2021
Binance USD;0,9998;11.02.2021
Algorand;1,18369501;11.02.2021
UMA;29,12620369;11.02.2021
Dash;147,4255839;11.02.2021
yearn.finance;38414,68006;11.02.2021
Zcash;126,4753877;11.02.2021
UNUS SED LEO;1,386630812;11.02.2021
Celsius;5,660203836;11.02.2021
Decred;105,9875399;11.02.2021
Ethereum Classic;11,03357962;11.02.2021
Kusama;145,9145148;11.02.2021
Zilliqa;0,109211035;11.02.2021
0x;1,558435598;11.02.2021
BitTorrent;0,001144192;11.02.2021
Waves;10,38453745;11.02.2021
Revain;0,012132179;11.02.2021
NEAR Protocol;3,415829455;11.02.2021
Hedera Hashgraph;0,128919546;11.02.2021
Nexo;1,639842848;11.02.2021
Ren;0,915896218;11.02.2021
Loopring;0,730589495;11.02.2021
Basic Attention Token;0,575087465;11.02.2021
Celo;4,558973765;11.02.2021
Ontology;1,02043262;11.02.2021
renBTC;45823,79416;11.02.2021
OMG Network;5,886276825;11.02.2021
SwissBorg;0,855008853;11.02.2021
ICON;1,349663271;11.02.2021
Qtum;7,555600095;11.02.2021
THORChain;4,589213994;11.02.2021
PancakeSwap;6,412605508;11.02.2021
Curve DAO Token;3,22124948;11.02.2021
DigiByte;0,050289375;11.02.2021
Paxos Standard;1,000149327;11.02.2021
1inch;5,360338672;11.02.2021
Nano;4,859351758;11.02.2021
Matic Network;0,128005792;11.02.2021
Reserve Rights;0,057459942;11.02.2021
Voyager Token;2,425263483;11.02.2021
OKB;8,901538807;11.02.2021
Siacoin;0,011306159;11.02.2021
Quant;43,46458504;11.02.2021
HedgeTrade;1,482134166;11.02.2021
Kyber Network;2,378606619;11.02.2021
Horizen;44,87401029;11.02.2021
Enjin Coin;0,575658803;11.02.2021
HUSD;0,999378722;11.02.2021
Stacks;0,619100952;11.02.2021
Ampleforth;1,380430012;11.02.2021
Bitcoin BEP2;46067,04093;11.02.2021
Decentraland;0,266261685;11.02.2021
Ocean Protocol;0,962344423;11.02.2021
IOST;0,024344076;11.02.2021
Fantom;0,157455625;11.02.2021
Ravencoin;0,047837675;11.02.2021
Alpha Finance Lab;2,173001263;11.02.2021
TrueUSD;0,999653218;11.02.2021
Status;0,104494172;11.02.2021
