Cryptocurrency;Price in USD;Date
Bitcoin;47814.23089531508;15.02.2021
Ethereum;1785.62093096067;15.02.2021
Tether;1.00057638600098;15.02.2021
Cardano;0.8479096288635;15.02.2021
XRP;0.56949663500424;15.02.2021
Polkadot;27.28548126735539;15.02.2021
Binance Coin;132.06133716707558;15.02.2021
Litecoin;208.36171916447915;15.02.2021
Chainlink;32.93256568239613;15.02.2021
Bitcoin Cash;717.4510906799528;15.02.2021
Stellar;0.50519654052605;15.02.2021
Dogecoin;0.05968869668258;15.02.2021
USD Coin;0.99989703790546;15.02.2021
Uniswap;20.36158343067091;15.02.2021
Wrapped Bitcoin;47716.67364533209;15.02.2021
Aave;458.1262478750425;15.02.2021
EOS;4.81745538258766;15.02.2021
Bitcoin SV;242.12053206940024;15.02.2021
Cosmos;20.28196107303346;15.02.2021
Monero;218.53734617399007;15.02.2021
TRON;0.05260966266083;15.02.2021
Tezos;4.72687071824927;15.02.2021
THETA;3.47405488611328;15.02.2021
NEM;0.3747810974496;15.02.2021
VeChain;0.05139378111962;15.02.2021
IOTA;1.13543514091686;15.02.2021
Avalanche;39.28500018493731;15.02.2021
Neo;42.62400855849567;15.02.2021
The Graph;2.31345143229939;15.02.2021
Synthetix;24.72560746521813;15.02.2021
Dash;261.5591442171034;15.02.2021
Terra;5.5507408512695;15.02.2021
Maker;2453.4355158273697;15.02.2021
Huobi Token;12.17229257850906;15.02.2021
Filecoin;44.74799315380673;15.02.2021
Algorand;1.42278072899808;15.02.2021
Solana;8.61070506298984;15.02.2021
Elrond;132.5723129258505;15.02.2021
Compound;461.9926185108968;15.02.2021
Dai;1.00125681682452;15.02.2021
SushiSwap;16.15008317780319;15.02.2021
Crypto.com Coin;0.08483217893699;15.02.2021
FTX Token;20.22855820757456;15.02.2021
Ethereum Classic;15.16268378647634;15.02.2021
Binance USD;1.0001;15.02.2021
Zcash;157.2889386957896;15.02.2021
yearn.finance;42289.91018312438;15.02.2021
UMA;26.99074309146713;15.02.2021
Kusama;173.01313553068715;15.02.2021
Zilliqa;0.12880556435169;15.02.2021
Decred;110.65071221139937;15.02.2021
UNUS SED LEO;1.38028203882127;15.02.2021
Celsius;5.47842921721808;15.02.2021
0x;1.70769419061699;15.02.2021
NEAR Protocol;4.13613019589519;15.02.2021
Waves;11.26918040280246;15.02.2021
BitTorrent;0.00108749820822;15.02.2021
Revain;0.01212060826796;15.02.2021
ICON;1.71367485783234;15.02.2021
DigiByte;0.06971800923128;15.02.2021
Hedera Hashgraph;0.13297110755919;15.02.2021
Nexo;1.68843951656175;15.02.2021
Ren;0.94715504659782;15.02.2021
Ontology;1.13131224692415;15.02.2021
OMG Network;6.50882364991163;15.02.2021
Loopring;0.73629770026749;15.02.2021
renBTC;47664.87633827193;15.02.2021
Nano;6.30739172960314;15.02.2021
Basic Attention Token;0.54573585057065;15.02.2021
Voyager Token;3.61468863736354;15.02.2021
SwissBorg;0.8396878512913;15.02.2021
Celo;4.20708328480226;15.02.2021
PancakeSwap;6.50190922917758;15.02.2021
1inch;5.03427401888501;15.02.2021
Paxos Standard;1.00285438507736;15.02.2021
THORChain;4.1646995785597;15.02.2021
Qtum;6.55521693907362;15.02.2021
Ravencoin;0.07804380139013;15.02.2021
Curve DAO Token;2.8154986117058;15.02.2021
Reserve Rights;0.06236556465013;15.02.2021
Siacoin;0.0120451013754;15.02.2021
Horizen;51.55393818385065;15.02.2021
Polygon;0.10806929231897;15.02.2021
HUSD;0.9997797376513;15.02.2021
IOST;0.03112146256186;15.02.2021
OKB;8.42277335470428;15.02.2021
Bitcoin Gold;28.43212287269699;15.02.2021
HedgeTrade;1.4106393677548;15.02.2021
Stacks;0.67133585502623;15.02.2021
Quant;39.54922872782633;15.02.2021
Energy Web Token;15.65693311466267;15.02.2021
Bitcoin BEP2;47837.12496834013;15.02.2021
Decentraland;0.2966508753349;15.02.2021
Lisk;3.50102273503779;15.02.2021
Enjin Coin;0.52827822349011;15.02.2021
Flow (Dapper Labs);18.7219708886464;15.02.2021
Bancor;3.40693001549594;15.02.2021
TerraUSD;1.00041937954761;15.02.2021
Ocean Protocol;1.0278078945065;15.02.2021
